knowledge_source,dataset,id,claim,gold_label,predicted_label,evidence
Wikipedia API,tweets_en,EN-01,"Astronomers found a planet that has no land, no continents, just water from pole to pole. And its may even run deeper than anything on Earth. They have a name for this true 'water world': TOI-1452 b.",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-05,"BREAKING NEWS: 'Negative time' confirmed: Mind-bending experiment shows light can exit a cloud of atoms before it enters, thanks to quantum physics quirk",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-06,"A vaccine that could provide protection against multiple pathogens would be invaluable, particularly during pandemics in which knowledge of the causative pathogen is limited. In a new Science study, researchers found that a nasal vaccine designed to stimulate innate immune",SUPPORTED,REFUTED,
Wikipedia API,tweets_en,EN-08,"he use of antidepressants while pregnant does not raise the children's risk for developmental ​disorders such as autism, according to an analysis of data from more than 25 million pregnancies that appears to contradict assertions ‌by US Health Secretary Robert F. Kennedy Jr",SUPPORTED,REFUTED,
Wikipedia API,tweets_en,EN-09,"Revolution's pancreatic cancer drug doubles survival, boosts quality of life ",SUPPORTED,REFUTED,"31 may – a phase 3 trial published in the new england journal of medicine reports that daraxonrasib, an investigational oral ras(on) inhibitor, nearly doubles median overall survival in patients with previously treated metastatic pancreatic cancer, from 6.6 months with standard chemotherapy to 13.2 "
Wikipedia API,tweets_en,EN-10,The world’s most popular weight-loss and diabetes drugs are linked to a powerful new possible benefit: better outcomes for cancer patients.,UNVERIFIABLE,SUPPORTED,"the use of drugs (whether chemotherapy, hormonal therapy, or targeted therapy) is systemic therapy for cancer: they are introduced into the blood stream (the system) and therefore can treat cancer anywhere in the body. since the 1990s, several novel classes of antiemetics have been developed and com"
Wikipedia API,tweets_en,EN-11,Researchers have found that flavours such as mango and watermelon have a greater impact on how genes function than other flavours Find out how the findings could have a bearing on regulatory and health issues around vaping products and their possible links to cancer and other serious diseases ,UNVERIFIABLE,REFUTED,
Wikipedia API,tweets_en,EN-13,"'Alien' DNA found inside humans ─ it was inserted into our genes, mind-blowing study published in Oct, 2025 says.",UNVERIFIABLE,REFUTED,"the purported interstellar meteorite, technically known as cneos 2014-01-08, impacted earth in 2014, and was determined, based on its hyperbolic trajectory and estimated initial high velocity, to be from beyond the solar system. 27 april
a lineage of h3n8 bird flu is found to infect humans for the f"
Wikipedia API,tweets_en,EN-15,"The researchers found that people who had received at least one COVID vaccine dose had a higher rate of hospitalization for cancer than unvaccinated people. The adjusted hazard ratio was 1.23, meaning about a 23% higher relative rate",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-18,JUST IN: 'Unprecedented' cancer vaccine trial show life-changing results and successfully eradicates entire tumors,UNVERIFIABLE,REFUTED,"this technology is now being used to investigate novel vaccine strategies. scientists achieve a breakthrough in finding a general cure for cancer by attaching malaria proteins to cancer cells, which appears effective on 90% of cancer types. in a world first, gene-edited immune cells are used to trea"
Wikipedia API,tweets_en,EN-19,A new study in Geophysical Research Letters provides robust confirmation that northern hemisphere atmospheric circulation on the largest scale is responding to greenhouse gas emissions.,SUPPORTED,REFUTED,"14 may
astronomers publish supporting evidence of water plume activity on europa, moon of the planet jupiter, based on an updated critical analysis of data obtained from the galileo space probe, which orbited jupiter between 1995 and 2003. on 20 june, nasa reported that the dust storm had grown to c"
Wikipedia API,tweets_en,EN-21,"Children born after a fertility struggle are more likely to show signs of autism and ADHD, according to international researchers who say this link exists regardless of whether the children were conceived using IVF or other infertility treatments.",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-22,Does the IPCC Exaggerate Climate Science? A new study finds the IPCC Summary for Policymakers has systematically amplified climate science beyond what the underlying report actually says,UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-24,"A University of Queensland (UQ) research team has developed a novel intranasal formulation of clozapine that could transform the treatment of schizophrenia, potentially reducing the serious side effects of this medication.",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-25,Electrical pulses reverse aging in sea squirts: « Findings point toward new strategies for protecting species from environmental shifts and could also have implications for mitigating age-related decline in humans. »,UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-30,Bumblebees know how to problem solve their way to a reward.,SUPPORTED,REFUTED,"bumblebees gather nectar to add to the stores in the nest, and pollen to feed their young. === communication and social learning ===
bumblebees do not have ears, and it is not known whether or how well they can hear. bumblebees have also been observed to engage in social learning. furthermore, subse"
Wikipedia API,tweets_es,ES-02,"WARNING: Vaccines containing mercury (thimerosal) cause autism...Vaccine regulators knew this in 1999 and still know it today...
Robert F. Kennedy Jr.
More EVIDENCE that vaccines cause autism?

http://ncbi.nlm.nih.gov/pmc/articles/PMC3878266/",REFUTED,SUPPORTED,
Wikipedia API,tweets_es,ES-05,Bee venom has demonstrated the ability to kill cancer cells by destroying their membranes and triggering apoptosis (programmed cell death). This selective effect makes it a potential ally against cancer.,UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_es,ES-08,"🚨🚨 This doctor explains exactly what each COVID ""vaccine"" did to your immune system and why they were administered every 8 weeks... They knew exactly what they were doing...
▪️ First injection: reduces white blood cell production by 50%...
▪️ The immune system slowly begins to recover...
▪️ 8 weeks later: the second dose arrives while you're still down...
▪️ This time less saline, more toxic load...
Now your immune defense is weakened and your system can't recover as it's designed to... This isn't medicine. It's engineering: attacking your immunity in calculated waves...",REFUTED,SUPPORTED,
